Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,test_peaks
112.453618697652,0,0,0,0,0,0,0,0,,None,112.446342230772,0,0,5620136.5
112.813661665283,0,0,0,0,0,0,0,0,,None,112.806385198403,0,0,41591812
117.746312224272,0,0,0,0,0,0,0,0,,None,117.739035757392,0,0,1267222.9
117.929703207964,0,0,0,0,0,0,0,0,,None,117.922426741084,0,0,2812275
118.36230016952,0,0,0,0,0,0,0,0,,None,118.35502370264,0,0,19251212
120.28668999893,0,0,0,0,0,0,0,0,,None,120.27941353205,0,0,1269835.6
121.529579889123,0,0,0,0,0,0,0,0,,None,121.522303422243,0,0,1207822.6
121.938836853029,0,0,0,0,0,0,0,0,,None,121.931560386149,0,0,1217919.6
122.157376833768,0,0,0,0,0,0,0,0,,None,122.150100366888,0,0,1237320.3
123.22424073987,0,0,0,0,0,0,0,0,,None,123.21696427299,0,0,1321361
123.541183712016,0,0,0,0,0,0,0,0,,None,123.533907245136,0,0,1189990.6
123.827276686889,0,0,0,0,0,0,0,0,,None,123.820000220009,0,0,1248209.9
124.057077666718,0,0,0,0,0,0,0,0,,None,124.049801199838,0,0,1265922.1
124.495438628267,0,0,0,0,0,0,0,0,,None,124.488162161387,0,0,1486651.8
124.946987588697,0,0,0,0,0,0,0,0,,None,124.939711121817,0,0,1210949.1
125.299478557834,0,0,0,0,0,0,0,0,,None,125.292202090954,0,0,1238223.5
125.704248522423,0,0,0,0,0,0,0,0,,None,125.696972055543,0,0,1308355.8
125.70805252209,0,0,0,0,0,0,0,0,,None,125.70077605521,0,0,1270883.5
125.712500521701,0,0,0,0,0,0,0,0,,None,125.705224054821,0,0,1253211.4
125.712879521668,0,0,0,0,0,0,0,0,,None,125.705603054788,0,0,1211043.3
125.714464521529,0,0,0,0,0,0,0,0,,None,125.707188054649,0,0,1200903.3
125.715213521464,0,0,0,0,0,0,0,0,,None,125.707937054584,0,0,1317707.3
125.73401051982,0,0,0,0,0,0,0,0,,None,125.72673405294,0,0,1299946.3
125.74613051876,0,0,0,0,0,0,0,0,,None,125.73885405188,0,0,1254833.8
125.80664251347,0,0,0,0,0,0,0,0,,None,125.79936604659,0,0,1262938.8
125.808374513318,0,0,0,0,0,0,0,0,,None,125.801098046438,0,0,1383786.6
125.81681851258,0,0,0,0,0,0,0,0,,None,125.8095420457,0,0,1380298.3
125.825996511777,0,0,0,0,0,0,0,0,,None,125.818720044897,0,0,1263005.9
125.833035511162,0,0,0,0,0,0,0,0,,None,125.825759044282,0,0,1191133.5
125.848715509791,0,0,0,0,0,0,0,0,,None,125.841439042911,0,0,1310264.8
125.854151509316,0,0,0,0,0,0,0,0,,None,125.846875042436,0,0,1922604.5
125.869104508009,0,0,0,0,0,0,0,0,,None,125.861828041129,0,0,1213683.8
125.885001506619,0,0,0,0,0,0,0,0,,None,125.877725039739,0,0,1286267
125.902464505093,0,0,0,0,0,0,0,0,,None,125.895188038213,0,0,1212058.1
126.560950447576,0,0,0,0,0,0,0,0,,None,126.553673980696,0,0,1201139
127.819765337848,0,0,0,0,0,0,0,0,,None,127.812488870968,0,0,1214630.9
128.193836305298,0,0,0,0,0,0,0,0,,None,128.186559838418,0,0,1207139.3
128.277702298004,0,0,0,0,0,0,0,0,,None,128.270425831124,0,0,1215727.9
128.3133992949,0,0,0,0,0,0,0,0,,None,128.30612282802,0,0,1207682.4
129.1778612198,0,0,0,0,0,0,0,0,,None,129.17058475292,0,0,1254764.9
129.445486196578,0,0,0,0,0,0,0,0,,None,129.438209729698,0,0,1257003.3
129.876671159193,0,0,0,0,0,0,0,0,,None,129.869394692313,0,0,1224036.4
130.220685129391,0,0,0,0,0,0,0,0,,None,130.213408662511,0,0,1210509.1
130.58828909757,0,0,0,0,0,0,0,0,,None,130.58101263069,0,0,1206057.9
130.728585085432,0,0,0,0,0,0,0,0,,None,130.721308618552,0,0,1280169.8
131.269585038662,0,0,0,0,0,0,0,0,,None,131.262308571782,0,0,1308307
131.697235001729,0,0,0,0,0,0,0,0,,None,131.689958534849,0,0,1203208.6
131.760804996242,0,0,0,0,0,0,0,0,,None,131.753528529362,0,0,1193959.1
132.10879196622,0,0,0,0,0,0,0,0,,None,132.10151549934,0,0,1204415.8
132.154856962247,0,0,0,0,0,0,0,0,,None,132.147580495367,0,0,1187734.8
