Index,Mass,IdealMass
0,150.38076300,0.00000000
1,153.14023100,0.00000000
2,153.71547100,0.00000000
3,154.22165900,0.00000000
4,154.40790800,0.00000000
5,154.70673900,0.00000000
6,154.88602200,0.00000000
7,155.09121600,0.00000000
8,155.21218700,0.00000000
9,156.17995100,0.00000000
10,157.97698200,0.00000000
11,159.60310100,0.00000000
12,162.03887800,0.00000000
13,162.39946400,0.00000000
14,162.42771300,0.00000000
15,162.44074500,0.00000000
16,162.54642800,0.00000000
17,163.38938900,0.00000000
18,163.42021300,0.00000000
19,165.01936300,0.00000000
20,165.66907400,0.00000000
21,167.29126300,0.00000000
22,169.60110700,0.00000000
23,170.97577800,0.00000000
24,171.03061000,0.00000000
25,171.06628700,171.06628700
26,173.04556300,173.04555156
27,173.08191400,0.00000000
28,174.00342700,0.00000000
29,174.63719800,0.00000000
30,175.06119700,175.06120162
31,176.16976100,0.00000000
32,176.86312800,0.00000000
33,177.74631700,0.00000000
34,178.78711800,0.00000000
35,179.03494800,0.00000000
36,180.36413500,0.00000000
37,180.67193900,0.00000000
38,182.05364200,0.00000000
39,183.06628300,183.06628700
40,185.04553800,185.04555156
41,185.08191400,185.08193706
42,185.98661400,0.00000000
43,186.55700100,0.00000000
44,187.06119600,187.06120162
45,187.09756700,0.00000000
46,188.52987000,0.00000000
47,188.95157900,0.00000000
48,189.04044800,189.04046618
49,189.07686300,189.07685169
50,190.08125800,0.00000000
51,191.03500200,0.00000000
52,193.05400500,0.00000000
53,196.02515600,0.00000000
54,197.04557800,197.04555156
55,197.08153800,0.00000000
56,197.08195000,197.08193706
57,198.21683600,0.00000000
58,199.02482400,199.02481612
59,199.06122700,199.06120162
60,199.09758900,199.09758713
61,200.05645300,0.00000000
62,201.04047600,201.04046618
63,201.07686400,201.07685169
64,201.11324000,0.00000000
65,202.04383100,0.00000000
66,202.07213600,0.00000000
67,203.05613900,203.05611624
68,203.09251200,203.09250175
69,204.05943800,0.00000000
70,205.03540100,205.03538080
71,207.02993000,0.00000000
72,207.03326200,0.00000000
73,207.06965800,0.00000000
74,209.00918300,209.00916605
75,209.04894200,0.00000000
76,210.04077800,0.00000000
77,211.06120700,211.06120162
78,211.09760200,211.09758713
79,212.05659900,0.00000000
80,213.01531100,0.00000000
81,213.04047700,213.04046618
82,213.07687000,213.07685169
83,213.11325900,213.11323719
84,214.07214100,0.00000000
85,214.08023600,0.00000000
86,214.96560600,0.00000000
87,215.05609600,215.05611624
88,215.05901700,0.00000000
89,215.09250900,215.09250175
90,215.12890500,0.00000000
91,215.47908700,0.00000000
92,216.05948100,0.00000000
93,216.08777200,0.00000000
94,216.09585800,0.00000000
95,217.03537700,217.03538080
96,217.07176600,217.07176631
97,217.08933300,0.00000000
98,217.10817100,217.10815181
99,218.07512200,0.00000000
100,219.03327100,0.00000000
101,219.05101700,219.05103087
102,219.54057400,0.00000000
103,221.00916400,221.00916605
104,221.04560200,0.00000000
105,221.04893100,0.00000000
106,221.28177700,0.00000000
107,223.02481900,223.02481612
108,223.06454600,0.00000000
109,223.09757500,223.09758713
110,224.05650000,0.00000000
111,224.71787900,0.00000000
112,225.04049300,225.04046618
113,225.04397500,0.00000000
114,225.06046400,0.00000000
115,225.07684800,225.07685169
116,225.11319200,225.11323719
117,226.07210200,0.00000000
118,226.08022100,0.00000000
119,226.10849500,0.00000000
120,227.00196600,0.00000000
121,227.01967100,227.01973074
122,227.03096300,0.00000000
123,227.05609400,227.05611624
124,227.09250000,227.09250175
125,227.12893000,227.12888726
126,228.05137700,0.00000000
127,228.05949100,0.00000000
128,228.08773700,0.00000000
129,228.09589200,0.00000000
130,228.98131200,0.00000000
131,229.03537400,229.03538080
132,229.07173100,229.07176631
133,229.07507700,0.00000000
134,229.10814700,229.10815181
135,229.14454300,0.00000000
136,229.16933900,0.00000000
137,230.06699200,0.00000000
138,230.07510900,0.00000000
139,230.10339100,0.00000000
140,231.05102500,231.05103087
141,231.08739300,231.08741637
142,231.12383700,231.12380188
143,231.33193900,0.00000000
144,232.05435600,0.00000000
145,232.09078300,0.00000000
146,233.04893500,0.00000000
147,233.06669700,233.06668093
148,233.08528000,0.00000000
149,233.10306200,233.10306644
150,234.07007400,0.00000000
151,235.00210100,0.00000000
152,235.02481200,235.02481612
153,235.02820500,0.00000000
154,235.06458000,0.00000000
155,235.10101000,0.00000000
156,236.02820200,0.00000000
157,236.05651100,0.00000000
158,236.06796600,0.00000000
159,236.92553000,0.00000000
160,237.00412600,237.00408067
161,237.04047000,237.04046618
162,237.04385700,0.00000000
163,237.07687700,237.07685169
164,237.08021900,0.00000000
165,237.11317700,237.11323719
166,237.81917600,0.00000000
167,237.94035300,0.00000000
168,238.03567900,0.00000000
169,238.04730000,0.00000000
170,238.07212700,0.00000000
171,239.01971900,239.01973074
172,239.05612100,239.05611624
173,239.05948100,0.00000000
174,239.09250600,239.09250175
175,239.09592700,0.00000000
176,239.12887800,239.12888726
177,239.33649200,0.00000000
178,240.05138300,0.00000000
179,240.05944900,0.00000000
180,240.08774300,0.00000000
181,241.01763500,0.00000000
182,241.03538900,241.03538080
183,241.04663000,0.00000000
184,241.07173300,241.07176631
185,241.07538400,0.00000000
186,241.10811500,241.10815181
187,241.14454400,241.14453732
188,242.06701700,0.00000000
189,242.07512700,0.00000000
190,242.10338100,0.00000000
191,242.11152400,0.00000000
192,242.12987900,0.00000000
193,242.99684800,0.00000000
194,243.05101600,243.05103087
195,243.07031200,0.00000000
196,243.08735400,243.08741637
197,243.09118300,0.00000000
198,243.12377400,243.12380188
199,244.05438600,0.00000000
200,244.08265100,0.00000000
201,244.09075400,0.00000000
202,245.01257100,0.00000000
203,245.03028900,245.03029542
204,245.04892600,0.00000000
205,245.05901400,0.00000000
206,245.06666300,245.06668093
207,245.09161800,0.00000000
208,245.10305800,245.10306644
209,245.13941700,245.13945194
210,246.06196000,0.00000000
211,246.07004100,0.00000000
212,246.09828500,0.00000000
213,246.10640800,0.00000000
214,247.02816500,0.00000000
215,247.04592700,247.04594549
216,247.06457200,0.00000000
217,247.07430600,0.00000000
218,247.08233100,247.08233099
219,247.11870600,247.11871650
220,247.58342600,0.00000000
221,248.04932200,0.00000000
222,248.05646300,0.00000000
223,248.05989700,0.00000000
224,248.06791800,0.00000000
225,248.08568300,0.00000000
