Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,CalMass,AlignMasses,Abundance,sn,resolution,rel_abu,peak_index
150.380763,0,0,0,0,0,0,0,0,,None,151.38803946688,0,0,150.380763,150.380763,1263555.9,7.05,626586.5,0.00220908252446901,0
153.140231,0,0,0,0,0,0,0,0,,None,154.14750746688,0,0,153.140231,153.140231,1434469.4,8.29,615021,0.00250789164407016,1
153.715471,0,0,0,0,0,0,0,0,,None,154.72274746688,0,0,153.715471,153.715471,1408896.3,8.09,728509.3,0.00246318203659929,2
154.221659,0,0,0,0,0,0,0,0,,None,155.22893546688,0,0,154.221659,154.221659,1304170.4,7.3,682396.7,0.00228008910375058,3
154.407908,0,0,0,0,0,0,0,0,,None,155.41518446688,0,0,154.407908,154.407908,1305135.8,7.31,714851.4,0.00228177691848765,4
154.706739,0,0,0,0,0,0,0,0,,None,155.71401546688,0,0,154.706739,154.706739,1388421.9,7.93,595025.9,0.00242738651758902,5
154.886022,0,0,0,0,0,0,0,0,,None,155.89329846688,0,0,154.886022,154.886022,1278022.4,7.08,694556.2,0.00223437439508608,6
155.091216,0,0,0,0,0,0,0,0,,None,156.09849246688,0,0,155.091216,155.091216,1578841.6,9.34,542277,0.00276029844620622,7
155.212187,0,0,0,0,0,0,0,0,,None,156.21946346688,0,0,155.212187,155.212187,1288112.4,7.15,816906.3,0.00225201480392901,8
156.179951,0,0,0,0,0,0,0,0,,None,157.18722746688,0,0,156.179951,156.179951,1373606.8,7.79,684999.8,0.00240148518745534,9
157.976982,0,0,0,0,0,0,0,0,,None,158.98425846688,0,0,157.976982,157.976982,1296366.9,7.18,738210.2,0.00226644619687191,10
159.603101,0,0,0,0,0,0,0,0,,None,160.61037746688,0,0,159.603101,159.603101,1415382.9,8.04,421116.3,0.00247452259913651,11
162.038878,0,0,0,0,0,0,0,0,,None,163.04615446688,0,0,162.038878,162.038878,1407980.3,7.94,677986.9,0.00246158058818501,12
162.399464,0,0,0,0,0,0,0,0,,None,163.40674046688,0,0,162.399464,162.399464,1358503.8,7.57,807957.5,0.00237508051998708,13
162.427713,0,0,0,0,0,0,0,0,,None,163.43498946688,0,0,162.427713,162.427713,1322875.4,7.31,567929.1,0.00231279116989597,14
