LowBinIndex,UpperBinIndex,PairCount,DistanceMean,DistanceStdDev,Type,Formula,FormulaDistance,ChainCount,ChainMean,ChainStdDev
144232,144329,3064,8.02432331,0.00163057,MDM,1 / 2 * H4O_N2,8.02126676,0,0,0.00000000
323167,323209,2480,17.97413740,0.00028669,DM,C_H_2O2,17.97417918,0,0,0.00000000
432175,432226,2316,24.03643648,0.00033375,DM,C3H4O_,24.03638551,0,0,0.00000000
72098,72196,2305,4.01234168,0.00153714,MDM,1 / 4 * H4O_N2,4.01063338,0,0,0.00000000
863440,863478,2251,48.02107411,0.00027186,DM,C1H4O2,48.02112937,0,0,0.00000000
611426,611472,2238,34.00543658,0.00031007,DM,H2O2,34.00547931,0,0,0.00000000
826543,826593,2212,45.96908350,0.00032868,DM,H_2O3,45.96909380,0,0,0.00000000
233631,233689,2160,12.99499594,0.00061206,DM,H_N,12.99524897,0,0,0.00000000
485645,485705,2139,27.01064419,0.00062554,DM,CHN,27.01089904,0,0,0.00000000
431182,431277,2131,23.98275614,0.00156292,MDM,1 / 2 * O1S1,23.98349266,0,0,0.00000000
773248,773302,2092,43.00555946,0.00056275,DM,C1H1N1O1,43.00581366,0,0,0.00000000
17669,17726,2088,0.98426338,0.00061413,DM,H_N_O,0.98401558,0,0,0.00000000
269875,269926,2083,15.01064002,0.00056527,DM,HN,15.01089904,0,0,0.00000000
862774,862842,2082,47.98466982,0.00047660,DM,O3,47.98474387,0,0,0.00000000
521236,521288,2073,28.98992134,0.00054230,DM,H_ON,28.99016360,0,0,0.00000000
720439,720481,2042,40.06772796,0.00030079,DM,C4H8O_1,40.06768563,0,0,0.00000000
576497,576531,1986,32.06257113,0.00022370,DM,C2H8,32.06260026,0,0,0.00000000
521892,521938,1983,29.02628519,0.00055875,DM,C1H3N1,29.02654910,0,0,0.00000000
557481,557532,1966,31.00555907,0.00052171,DM,H1O1N1,31.00581366,0,0,0.00000000
377742,377817,1930,21.01014084,0.00112677,MDM,1 / 2 * C1H2N2,21.01089904,0,0,0.00000000
395280,395338,1899,21.98447932,0.00044751,DM,C2H_2,21.98434994,0,0,0.00000000
234285,234337,1892,13.03134387,0.00061985,DM,CH3O_N,13.03163448,0,0,0.00000000
305275,305332,1858,16.97922021,0.00068154,DM,H_O2N_,16.97893021,0,0,0.00000000
808842,808888,1856,44.98481770,0.00049521,DM,H_1N1O2,44.98507822,0,0,0.00000000
233950,234009,1814,13.01254538,0.00057600,MDM,1 / 2 * CH2O_N2,13.01344173,0,0,0.00000000
18006,18065,1806,1.00310077,0.00059349,MDM,1 / 5 * H3N_O,1.00306314,0,0,0.00000000
18513,18571,1802,1.03137864,0.00058185,DM,H3NO_,1.03163448,0,0,0.00000000
647294,647338,1800,36.00006976,0.00031650,DM,C3,36.00000000,0,0,0.00000000
773905,773957,1791,43.04193100,0.00057631,DM,C2H5N1,43.04219917,0,0,0.00000000
178858,178891,1785,9.94799645,0.00021739,DM,H_6O,9.94796443,0,0,0.00000000
