Index,Mass,IdealMass
0,150.38076300,150.38076300
1,153.14023100,153.14023100
2,153.71547100,153.71547100
3,154.22165900,154.22165900
4,154.40790800,154.40790800
5,154.70673900,154.70673900
6,154.88602200,154.88602200
7,155.09121600,155.09121600
8,155.21218700,155.21218700
9,156.17995100,156.17995100
10,157.97698200,157.97698200
11,159.60310100,159.60310100
12,162.03887800,162.03887800
13,162.39946400,162.39946400
14,162.42771300,162.42771300
15,162.44074500,162.44074500
16,162.54642800,162.54642800
17,163.38938900,163.38938900
18,163.42021300,163.42021300
19,165.01936300,165.01936300
20,165.66907400,165.66907400
21,167.29126300,167.29126300
22,169.60110700,169.60110700
23,170.97577800,170.97577800
24,171.03061000,171.03061000
25,171.06628700,171.06628700
26,173.04556300,173.04555156
27,173.08191400,173.08190256
28,174.00342700,174.00342319
29,174.63719800,174.63720262
30,175.06119700,175.06120162
31,176.16976100,176.16976554
32,176.86312800,176.86313248
33,177.74631700,177.74632141
34,178.78711800,178.78712233
35,179.03494800,179.03495231
36,180.36413500,180.36413921
37,180.67193900,180.67194319
38,182.05364200,182.05364608
39,183.06628300,183.06628700
40,185.04553800,185.04555156
41,185.08191400,185.08193706
42,185.98661400,185.98662645
43,186.55700100,186.55700662
44,187.06119600,187.06120162
45,187.09756700,187.09757262
46,188.52987000,188.52988818
47,188.95157900,188.95159718
48,189.04044800,189.04046618
49,189.07686300,189.07685169
50,190.08125800,190.08125848
51,191.03500200,191.03499972
52,193.05400500,193.05399689
53,196.02515600,196.02513931
54,197.04557800,197.04555156
55,197.08153800,197.08152491
56,197.08195000,197.08193706
57,198.21683600,198.21682092
58,199.02482400,199.02481612
59,199.06122700,199.06120162
60,199.09758900,199.09758713
61,200.05645300,200.05644161
62,201.04047600,201.04046618
63,201.07686400,201.07685169
64,201.11324000,201.11322769
65,202.04383100,202.04381728
66,202.07213600,202.07212220
67,203.05613900,203.05611624
68,203.09251200,203.09250175
69,204.05943800,204.05941964
70,205.03540100,205.03538080
71,207.02993000,207.02991143
72,207.03326200,207.03324344
73,207.06965800,207.06963947
74,209.00918300,209.00916605
75,209.04894200,209.04892505
76,210.04077800,210.04076445
77,211.06120700,211.06120162
78,211.09760200,211.09758713
79,212.05659900,212.05658552
80,213.01531100,213.01530018
81,213.04047700,213.04046618
82,213.07687000,213.07685169
83,213.11325900,213.11323719
84,214.07214100,214.07213572
85,214.08023600,214.08023081
86,214.96560600,214.96562624
87,215.05609600,215.05611624
88,215.05901700,215.05903504
89,215.09250900,215.09250175
90,215.12890500,215.12889775
91,215.47908700,215.47907975
92,216.05948100,216.05948181
93,216.08777200,216.08777265
94,216.09585800,216.09585860
95,217.03537700,217.03538080
96,217.07176600,217.07176631
97,217.08933300,217.08932390
98,217.10817100,217.10815181
99,218.07512200,218.07512655
100,219.03327100,219.03328487
101,219.05101700,219.05103087
102,219.54057400,219.54058491
103,221.00916400,221.00916605
104,221.04560200,221.04560405
105,221.04893100,221.04893305
106,221.28177700,221.28177905
107,223.02481900,223.02481612
108,223.06454600,223.06455131
109,223.09757500,223.09758713
110,224.05650000,224.05650597
111,224.71787900,224.71785218
112,225.04049300,225.04046618
113,225.04397500,225.04395110
114,225.06046400,225.06045394
115,225.07684800,225.07685169
116,225.11319200,225.11323719
117,226.07210200,226.07211080
118,226.08022100,226.08022981
119,226.10849500,226.10850385
120,227.00196600,227.00202574
121,227.01967100,227.01973074
122,227.03096300,227.03101111
123,227.05609400,227.05611624
124,227.09250000,227.09250175
125,227.12893000,227.12888726
126,228.05137700,228.05138989
127,228.05949100,228.05950391
128,228.08773700,228.08774998
129,228.09589200,228.09590501
130,228.98131200,228.98131880
131,229.03537400,229.03538080
132,229.07173100,229.07176631
133,229.07507700,229.07510951
134,229.10814700,229.10815181
135,229.14454300,229.14454781
136,229.16933900,229.16934381
137,230.06699200,230.06699895
138,230.07510900,230.07511588
139,230.10339100,230.10339763
140,231.05102500,231.05103087
141,231.08739300,231.08741637
142,231.12383700,231.12380188
