Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,test_peaks
112.453610632643,0,0,0,0,0,0,0,0,,None,113.460887099523,0,0,5620136.5
112.813653591884,0,0,0,0,0,0,0,0,,None,113.820930058764,0,0,41591812
117.746304047129,0,0,0,0,0,0,0,0,,None,118.753580514009,0,0,1267222.9
117.929695027367,0,0,0,0,0,0,0,0,,None,118.936971494247,0,0,2812275
118.362291980888,0,0,0,0,0,0,0,0,,None,119.369568447768,0,0,19251212
120.286681776505,0,0,0,0,0,0,0,0,,None,121.293958243385,0,0,1269835.6
121.529571646561,0,0,0,0,0,0,0,0,,None,122.536848113441,0,0,1207822.6
121.938828604127,0,0,0,0,0,0,0,0,,None,122.946105071007,0,0,1217919.6
122.15736858154,0,0,0,0,0,0,0,0,,None,123.16464504842,0,0,1237320.3
123.224232471989,0,0,0,0,0,0,0,0,,None,124.231508938869,0,0,1321361
123.541175439673,0,0,0,0,0,0,0,0,,None,124.548451906553,0,0,1189990.6
123.827268410593,0,0,0,0,0,0,0,0,,None,124.834544877473,0,0,1248209.9
124.057069387297,0,0,0,0,0,0,0,0,,None,125.064345854177,0,0,1265922.1
124.495430343011,0,0,0,0,0,0,0,0,,None,125.502706809891,0,0,1486651.8
124.946979297603,0,0,0,0,0,0,0,0,,None,125.954255764483,0,0,1210949.1
125.299470262305,0,0,0,0,0,0,0,0,,None,126.306746729185,0,0,1238223.5
125.704240221932,0,0,0,0,0,0,0,0,,None,126.711516688812,0,0,1308355.8
125.708044221553,0,0,0,0,0,0,0,0,,None,126.715320688433,0,0,1270883.5
125.712492221111,0,0,0,0,0,0,0,0,,None,126.719768687991,0,0,1253211.4
125.712871221073,0,0,0,0,0,0,0,0,,None,126.720147687953,0,0,1211043.3
125.714456220915,0,0,0,0,0,0,0,0,,None,126.721732687795,0,0,1200903.3
125.715205220841,0,0,0,0,0,0,0,0,,None,126.722481687721,0,0,1317707.3
125.73400221897,0,0,0,0,0,0,0,0,,None,126.74127868585,0,0,1299946.3
125.746122217764,0,0,0,0,0,0,0,0,,None,126.753398684644,0,0,1254833.8
125.806634211746,0,0,0,0,0,0,0,0,,None,126.813910678626,0,0,1262938.8
125.808366211574,0,0,0,0,0,0,0,0,,None,126.815642678454,0,0,1383786.6
125.816810210734,0,0,0,0,0,0,0,0,,None,126.824086677614,0,0,1380298.3
125.825988209822,0,0,0,0,0,0,0,0,,None,126.833264676702,0,0,1263005.9
125.833027209122,0,0,0,0,0,0,0,0,,None,126.840303676002,0,0,1191133.5
125.848707207564,0,0,0,0,0,0,0,0,,None,126.855983674444,0,0,1310264.8
125.854143207024,0,0,0,0,0,0,0,0,,None,126.861419673904,0,0,1922604.5
125.869096205538,0,0,0,0,0,0,0,0,,None,126.876372672418,0,0,1213683.8
125.884993203958,0,0,0,0,0,0,0,0,,None,126.892269670838,0,0,1286267
125.902456202224,0,0,0,0,0,0,0,0,,None,126.909732669104,0,0,1212058.1
126.560942137047,0,0,0,0,0,0,0,0,,None,127.568218603927,0,0,1201139
127.819757013712,0,0,0,0,0,0,0,0,,None,128.827033480592,0,0,1214630.9
128.193827977381,0,0,0,0,0,0,0,0,,None,129.201104444261,0,0,1207139.3
128.277693969256,0,0,0,0,0,0,0,0,,None,129.284970436136,0,0,1215727.9
128.3133909658,0,0,0,0,0,0,0,0,,None,129.32066743268,0,0,1207682.4
129.177852882509,0,0,0,0,0,0,0,0,,None,130.185129349389,0,0,1254764.9
129.445477856882,0,0,0,0,0,0,0,0,,None,130.452754323762,0,0,1257003.3
129.876662815751,0,0,0,0,0,0,0,0,,None,130.883939282631,0,0,1224036.4
130.220676783074,0,0,0,0,0,0,0,0,,None,131.227953249954,0,0,1210509.1
130.588280748294,0,0,0,0,0,0,0,0,,None,131.595557215174,0,0,1206057.9
130.728576735057,0,0,0,0,0,0,0,0,,None,131.735853201937,0,0,1280169.8
131.269576684208,0,0,0,0,0,0,0,0,,None,132.276853151088,0,0,1308307
131.697226644229,0,0,0,0,0,0,0,0,,None,132.704503111109,0,0,1203208.6
131.760796638302,0,0,0,0,0,0,0,0,,None,132.768073105182,0,0,1193959.1
132.108783605935,0,0,0,0,0,0,0,0,,None,133.116060072815,0,0,1204415.8
132.15484860166,0,0,0,0,0,0,0,0,,None,133.16212506854,0,0,1187734.8
132.476840571839,0,0,0,0,0,0,0,0,,None,133.484117038719,0,0,1199752.8
132.765816545168,0,0,0,0,0,0,0,0,,None,133.773093012048,0,0,1194379.9
132.907893532087,0,0,0,0,0,0,0,0,,None,133.915169998967,0,0,1285065.6
133.705194459072,0,0,0,0,0,0,0,0,,None,134.712470925952,0,0,1237840.3
133.888233442404,0,0,0,0,0,0,0,0,,None,134.895509909284,0,0,1520134.9
133.896144441684,0,0,0,0,0,0,0,0,,None,134.903420908564,0,0,1197094.8
133.988875433254,0,0,0,0,0,0,0,0,,None,134.996151900134,0,0,1259470.1
135.116583331452,0,0,0,0,0,0,0,0,,None,136.123859798332,0,0,1250148.1
135.203250323683,0,0,0,0,0,0,0,0,,None,136.210526790563,0,0,1258324.4
135.460306300687,0,0,0,0,0,0,0,0,,None,136.467582767567,0,0,1239685.6
135.843780266511,0,0,0,0,0,0,0,0,,None,136.851056733391,0,0,1246376.6
135.983698254079,0,0,0,0,0,0,0,0,,None,136.990974720959,0,0,1303666.1
136.595542199957,0,0,0,0,0,0,0,0,,None,137.602818666837,0,0,1211410.5
136.663345193984,0,0,0,0,0,0,0,0,,None,137.670621660864,0,0,1220819.8
136.937752169858,0,0,0,0,0,0,0,0,,None,137.945028636738,0,0,1327200.9
137.689614104156,0,0,0,0,0,0,0,0,,None,138.696890571036,0,0,1360819
137.701285103141,0,0,0,0,0,0,0,0,,None,138.708561570021,0,0,1190643.4
138.30234905105,0,0,0,0,0,0,0,0,,None,139.30962551793,0,0,1269790.3
138.499446034051,0,0,0,0,0,0,0,0,,None,139.506722500931,0,0,1213765.3
139.413569955741,0,0,0,0,0,0,0,0,,None,140.420846422621,0,0,1202171.8
139.615293938578,0,0,0,0,0,0,0,0,,None,140.622570405458,0,0,1195701.5
139.703975931046,0,0,0,0,0,0,0,0,,None,140.711252397926,0,0,1196522
139.80813992221,0,0,0,0,0,0,0,0,,None,140.81541638909,0,0,1261775.4
140.9642548249,0,0,0,0,0,0,0,0,,None,141.97153129178,0,0,1340755.9
141.091903814241,0,0,0,0,0,0,0,0,,None,142.099180281121,0,0,1954908.5
141.250487801024,0,0,0,0,0,0,0,0,,None,142.257764267904,0,0,1208311.5
141.305013796485,0,0,0,0,0,0,0,0,,None,142.312290263365,0,0,1214667.4
141.337804793757,0,0,0,0,0,0,0,0,,None,142.345081260637,0,0,1390157.6
141.352810792509,0,0,0,0,0,0,0,0,,None,142.360087259389,0,0,1286590.8
141.36073679185,0,0,0,0,0,0,0,0,,None,142.36801325873,0,0,1430479.4
141.375556790618,0,0,0,0,0,0,0,0,,None,142.382833257498,0,0,1249280.4
141.421441786804,0,0,0,0,0,0,0,0,,None,142.428718253684,0,0,1218083.8
141.42907578617,0,0,0,0,0,0,0,0,,None,142.43635225305,0,0,1314228.3
141.440240785243,0,0,0,0,0,0,0,0,,None,142.447517252123,0,0,1302549.1
141.462638783382,0,0,0,0,0,0,0,0,,None,142.469915250262,0,0,1229878.8
141.464546783224,0,0,0,0,0,0,0,0,,None,142.471823250104,0,0,1324406.9
141.466353783074,0,0,0,0,0,0,0,0,,None,142.473630249954,0,0,1242039
141.486355781413,0,0,0,0,0,0,0,0,,None,142.493632248293,0,0,1281800.5
141.499142780352,0,0,0,0,0,0,0,0,,None,142.506419247232,0,0,1225001.4
141.509134779522,0,0,0,0,0,0,0,0,,None,142.516411246402,0,0,1365370.1
141.529474777834,0,0,0,0,0,0,0,0,,None,142.536751244714,0,0,1208107.6
141.571448774352,0,0,0,0,0,0,0,0,,None,142.578725241232,0,0,1200206.8
141.576039773972,0,0,0,0,0,0,0,0,,None,142.583316240852,0,0,1288143.1
141.598996772068,0,0,0,0,0,0,0,0,,None,142.606273238948,0,0,1188128.8
141.624500769954,0,0,0,0,0,0,0,0,,None,142.631777236834,0,0,1376210.8
141.636908768926,0,0,0,0,0,0,0,0,,None,142.644185235806,0,0,1290627.6
141.647022768088,0,0,0,0,0,0,0,0,,None,142.654299234968,0,0,1280012.4
141.65955376705,0,0,0,0,0,0,0,0,,None,142.66683023393,0,0,1265437.4
142.68847468237,0,0,0,0,0,0,0,0,,None,143.69575114925,0,0,1239546.6
143.548971612402,0,0,0,0,0,0,0,0,,None,144.556248079282,0,0,1297485.4
143.629011605933,0,0,0,0,0,0,0,0,,None,144.636288072813,0,0,1364869.6
144.462889538939,0,0,0,0,0,0,0,0,,None,145.470166005819,0,0,1206241.3
144.665496522771,0,0,0,0,0,0,0,0,,None,145.672772989651,0,0,1300329.1
144.964720498972,0,0,0,0,0,0,0,0,,None,145.971996965852,0,0,2784141.5
146.143487406129,0,0,0,0,0,0,0,0,,None,147.150763873009,0,0,1234899
146.366685388713,0,0,0,0,0,0,0,0,,None,147.373961855593,0,0,1242251.4
146.802611354848,0,0,0,0,0,0,0,0,,None,147.809887821728,0,0,1198637
147.765274280768,0,0,0,0,0,0,0,0,,None,148.772550747648,0,0,1310089.4
148.574389219254,0,0,0,0,0,0,0,0,,None,149.581665686134,0,0,1200616.9
148.576451219098,0,0,0,0,0,0,0,0,,None,149.583727685978,0,0,9770489
148.578649218932,0,0,0,0,0,0,0,0,,None,149.585925685812,0,0,2295609.8
148.580869218764,0,0,0,0,0,0,0,0,,None,149.588145685644,0,0,2803130
148.928762192528,0,0,0,0,0,0,0,0,,None,149.936038659408,0,0,1213275.1
149.105568179243,0,0,0,0,0,0,0,0,,None,150.112844646123,0,0,1262205
149.365617159762,0,0,0,0,0,0,0,0,,None,150.372893626642,0,0,1193727.6
149.777181129076,0,0,0,0,0,0,0,0,,None,150.784457595956,0,0,1271842.1
150.151463101324,0,0,0,0,0,0,0,0,,None,151.158739568204,0,0,1199103.5
150.682315062213,0,0,0,0,0,0,0,0,,None,151.689591529093,0,0,1315489
151.006191038496,0,0,0,0,0,0,0,0,,None,152.013467505376,0,0,1275272.5
151.62233399368,0,0,0,0,0,0,0,0,,None,152.62961046056,0,0,1233748.9
152.288150945698,0,0,0,0,0,0,0,0,,None,153.295427412578,0,0,1222371.1
153.355007869781,0,0,0,0,0,0,0,0,,None,154.362284336661,0,0,1338782.6
155.584246714995,0,0,0,0,0,0,0,0,,None,156.591523181875,0,0,42582148
155.58665871483,0,0,0,0,0,0,0,0,,None,156.59393518171,0,0,12945540
155.589072714665,0,0,0,0,0,0,0,0,,None,156.596349181545,0,0,12889733
155.666358709392,0,0,0,0,0,0,0,0,,None,156.673635176272,0,0,1269147.1
155.712106706274,0,0,0,0,0,0,0,0,,None,156.719383173154,0,0,1236888.5
155.796514700527,0,0,0,0,0,0,0,0,,None,156.803791167407,0,0,1234017.3
156.085986680873,0,0,0,0,0,0,0,0,,None,157.093263147753,0,0,7756311
156.08840268071,0,0,0,0,0,0,0,0,,None,157.09567914759,0,0,2315223.5
156.090864680543,0,0,0,0,0,0,0,0,,None,157.098141147423,0,0,2350232.3
156.820431631401,0,0,0,0,0,0,0,0,,None,157.827708098281,0,0,1237396.9
157.050643616011,7,10,4,0,0,0,0,0,CHO,Lignin,158.057920082891,-0.071325060506177,1,12366396
158.053749549596,0,0,0,0,0,0,0,0,,None,159.061026016476,0,0,1288730.3
158.357669529681,0,0,0,0,0,0,0,0,,None,159.364945996561,0,0,1323805.1
159.102426481289,0,0,0,0,0,0,0,0,,None,160.109702948169,0,0,1924692.8
160.756739375872,0,0,0,0,0,0,0,0,,None,161.764015842752,0,0,1231443.4
160.910445366223,0,0,0,0,0,0,0,0,,None,161.917721833103,0,0,1285530.4
161.49375332983,0,0,0,0,0,0,0,0,,None,162.50102979671,0,0,1259294
161.56756832525,0,0,0,0,0,0,0,0,,None,162.57484479213,0,0,1258841
161.59144332377,0,0,0,0,0,0,0,0,,None,162.59871979065,0,0,1422401.8
161.803514310649,0,0,0,0,0,0,0,0,,None,162.810790777529,0,0,1447344
161.866823306741,0,0,0,0,0,0,0,0,,None,162.874099773621,0,0,1223879.4
161.902518304539,0,0,0,0,0,0,0,0,,None,162.909794771419,0,0,1299156.6
162.59209926227,0,0,0,0,0,0,0,0,,None,163.59937572915,0,0,19381688
162.594740262109,0,0,0,0,0,0,0,0,,None,163.602016728989,0,0,6304440
162.597367261949,0,0,0,0,0,0,0,0,,None,163.604643728829,0,0,5978041
162.687087256487,0,0,0,0,0,0,0,0,,None,163.694363723367,0,0,1286171.1
162.898187243667,0,0,0,0,0,0,0,0,,None,163.905463710547,0,0,1317835.5
