mf_ind,mf,ec,C,H,O,NSP,other,search_m0,search_m,pa_mm_abs,pa_mm_max,pa_mm_rel,major_count,minor_count,major_multi_count,minor_multi_count,p_d1,p_d2,p_dinf,pa_sum_abs,pa_sum_max,pa_sum_rel,tma_m_err_ppm
505,C9H15O4Cl,HCOCl,9,15,4,0,1,222.0658866,221.05861013312,3,5.5,0.545454545454545,3,0,0,0,0.115129809128121,0.0654761133060581,0.0413473844528198,1.41729934513569,1.46675473509822,0.966282440561394,-0.0210138897430885
641,C10H17O4Cl,HCOCl,10,17,4,0,1,236.0815367,235.07426023312,2,5.5,0.363636363636364,2,0,0,0,0.192718059988692,0.123053356745125,0.108157299458981,1.31995779275894,1.47883497062139,0.892565985374493,-0.0410049988436971
786,C13H11O3Cl,HCOCl,13,11,3,0,1,250.0396719,249.03239543312,2,5.5,0.363636363636364,2,0,0,0,0.391575086396188,0.323986987426379,0.319957792758942,1.1406044960022,1.51087713439483,0.754928690120826,-0.704845287607618
791,C11H19O4Cl,HCOCl,11,19,4,0,1,250.0971868,249.08991033312,4,5.5,0.727272727272727,4,0,0,0,0.00920076412148774,0.00538474239750946,0.00431272387504578,1.47699713334441,1.49799000553321,0.985985973129823,0.0745610051336732
964,C12H21O4Cl,HCOCl,12,21,4,0,1,264.1128368,263.10556033312,3,5.6,0.535714285714286,3,0,0,0,0.0480920982081443,0.0417361723606648,0.041526909917593,1.44974648952484,1.51378307852428,0.957697645119756,0.0497501411131593
1160,C13H23O4Cl,HCOCl,13,23,4,0,1,278.1284869,277.12121043312,2,5.6,0.357142857142857,2,0,0,0,0.703629005234689,0.535862061147365,0.515117585659027,1.31995779275894,1.52581362472847,0.865084549886515,0.0422638710328551
1340,C14H23O4Cl,HCOCl,14,23,4,0,1,290.1284869,289.12121043312,3,5.6,0.535714285714286,3,0,0,0,0.0878350476268679,0.0557766864301713,0.0484480708837509,1.47137799859047,1.54626623762306,0.951568341071905,-0.0570892818513899
1378,C14H25O4Cl,HCOCl,14,25,4,0,1,292.144137,291.13686053312,2,5.6,0.357142857142857,2,0,0,0,0.279249880695716,0.176236166877439,0.151420205831528,1.31995779275894,1.5420972306747,0.855949784814433,0.0533784118583862
1381,C16H33O2Cl,HCOCl,16,33,2,0,1,292.216908,291.20963153312,3,5.5,0.545454545454545,3,0,0,0,0.112428513355553,0.0709450414317036,0.0553692206740379,1.49300949275494,1.57481317548081,0.948054992173341,-0.0221634931406717
1414,C14H27O4Cl,HCOCl,14,27,4,0,1,294.159787,293.15251053312,2,5.6,0.357142857142857,2,0,0,0,0.225020442390814,0.160498568854893,0.151420205831528,1.31995779275894,1.5420972306747,0.855949784814433,-0.110212893017009
