Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,data_fticr_neg_esi_2,data_fticr_neg_esi_1
150.571157846967,0,0,0,0,0,0,0,0,,None,151.578434313847,0,0,0,2883624.3
150.88666601588,0,0,0,0,0,0,0,0,,None,151.89394248276,0,0,12720989,0
150.887053015769,0,0,0,0,0,0,0,0,,None,151.894329482649,0,0,3335119,0
151.032652658966,0,0,0,0,0,0,0,0,,None,152.039929125846,0,0,0,9623676
151.040092314016,8,8,3,0,0,0,0,0,CHO,Lignin,152.047368780896,-0.162171800172929,1,5623150,6261659.5
151.301031549779,0,0,0,0,0,0,0,0,,None,152.308308016659,0,0,0,4922915
152.081526232838,0,0,0,0,0,0,0,0,,None,153.088802699718,0,0,0,9509330
152.457827080347,0,0,0,0,0,0,0,0,,None,153.465103547227,0,0,0,5469552.5
152.841467925093,0,0,0,0,0,0,0,0,,None,153.848744391973,0,0,0,28266684
152.883339450707,0,0,0,0,0,0,0,0,,None,153.890615917587,0,0,2731118,0
152.883707679308,0,0,0,0,0,0,0,0,,None,153.890984146188,0,0,14212566,2872308.5
152.884090450496,0,0,0,0,0,0,0,0,,None,153.891366917376,0,0,4128542,0
153.001146639106,0,0,0,0,0,0,0,0,,None,154.008423105986,0,0,4407103,3595079.3
153.019342132878,7,6,4,0,0,0,0,0,CHO,Lignin,154.026618599758,-0.0643963910649162,1,2682854.5,10843085
153.609326614987,0,0,0,0,0,0,0,0,,None,154.616603081867,0,0,0,2732873.8
153.623581609238,0,0,0,0,0,0,0,0,,None,154.630858076118,0,0,0,7274076
153.77947087335,0,0,0,0,0,0,0,0,,None,154.78674734023,0,0,6755814.5,4941382.5
154.573236603544,0,0,0,0,0,0,0,0,,None,155.580513070424,0,0,4071647.3,3472078.3
154.933121481622,0,0,0,0,0,0,0,0,,None,155.940397948502,0,0,6871603.5,6815178.5
155.071371026862,8,12,3,0,0,0,0,0,CHO,Protein,156.078647493742,-0.0207731325224614,1,0,4449998
157.050641769326,7,10,4,0,0,0,0,0,CHO,Lignin,158.057918236206,-0.0596414632338086,1,3925304.3,6577989.5
157.087030757161,8,14,3,0,0,0,0,0,CHO,Protein,158.094307224041,-0.0816496235156336,1,6500523,4220488
158.846739671877,0,0,0,0,0,0,0,0,,None,159.854016138757,0,0,3405901,7872928.5
159.066302099261,7,12,4,0,0,0,0,0,CHO,AminoSugar,160.073578566141,-0.123021810198872,1,9329250,15989637
159.102284420974,0,0,0,0,0,0,0,0,,None,160.109560887854,0,0,0,2597216.5
159.102683587238,8,16,3,0,0,0,0,0,CHO,Protein,160.109960054118,-0.0978965810318981,1,17770078,18329280
159.845160342401,0,0,0,0,0,0,0,0,,None,160.852436809281,0,0,5251222,6727145
160.040406505916,0,0,0,0,0,0,0,0,,None,161.047682972796,0,1,2700416.5,0
160.841633515428,0,0,0,0,0,0,0,0,,None,161.848909982308,0,0,8084928,16753858
160.842056515289,0,0,0,0,0,0,0,0,,None,161.849332982169,0,0,61889632,135203392
160.842459515157,0,0,0,0,0,0,0,0,,None,161.849735982037,0,0,6897712,14741314
160.843780734124,0,0,0,0,0,0,0,0,,None,161.851057201004,0,0,0,8653666
161.024419248185,9,6,3,0,0,0,0,0,CHO,ConHC,162.031695715065,-0.0102212417004738,1,5766543.5,0
161.045563654807,6,10,5,0,0,0,0,0,CHO,Carb,162.052840121687,-0.102992252038596,1,0,2399664
161.842224188957,0,0,0,0,0,0,0,0,,None,162.849500655837,0,0,4576447,6924241
161.84251234208,0,0,0,0,0,0,0,0,,None,162.84978880896,0,0,0,3744944.8
161.93131401267,0,0,0,0,0,0,0,0,,None,162.93859047955,0,0,2313993,0
162.83867136567,0,0,0,0,0,0,0,0,,None,163.84594783255,0,0,6739159.5,15683385
162.839023365561,0,0,0,0,0,0,0,0,,None,163.846299832441,0,0,61637336,10328505
162.839105952213,0,0,0,0,0,0,0,0,,None,163.846382419093,0,0,0,142555072
162.839521365394,0,0,0,0,0,0,0,0,,None,163.846797832274,0,0,5887703.5,14150137
162.840840951535,0,0,0,0,0,0,0,0,,None,163.848117418415,0,0,0,2816680.8
162.842465364442,0,0,0,0,0,0,0,0,,None,163.849741831322,0,0,8857495,12380217
163.039652873919,0,0,0,0,0,0,0,0,,None,164.046929340799,0,0,0,3762225
163.040087300543,9,8,3,0,0,0,0,0,CHO,Lignin,164.047363767423,-0.119747874086689,1,15735119,33044400
163.040545873571,0,0,0,0,0,0,0,0,,None,164.047822340451,0,0,0,3316753
163.839267542861,0,0,0,0,0,0,0,0,,None,164.846544009741,0,0,2378812.8,2923070.3
163.839559562168,0,0,0,0,0,0,0,0,,None,164.846836029048,0,0,0,3421742.3
164.043442482844,8,8,3,0,1,0,0,0,CHO,Lignin,165.050718949724,-0.121107159796627,0,0,3174508.8
164.835694723199,0,0,0,0,0,0,0,0,,None,165.842971190079,0,0,2390468,5360517.5
164.836149723053,0,0,0,0,0,0,0,0,,None,165.843426189933,0,0,22658756,49496996
164.836577222916,0,0,0,0,0,0,0,0,,None,165.843853689796,0,0,2315276,4490293.5
164.83791222249,0,0,0,0,0,0,0,0,,None,165.84518868937,0,0,3626788,5746213.5
164.839520221975,0,0,0,0,0,0,0,0,,None,165.846796688855,0,0,9381828,12749926
165.018899225158,0,0,0,0,0,0,0,0,,None,166.026175692038,0,0,2309881.3,0
165.019344664478,8,6,4,0,0,0,0,0,CHO,ConHC,166.026621131358,-0.0749901282767119,1,16059593,14963883
165.055736215895,9,10,3,0,0,0,0,0,CHO,Lignin,166.063012682775,-0.111376244173336,1,11277515,0
166.833194402915,0,0,0,0,0,0,0,0,,None,167.840470869795,0,0,0,5555593.5
166.834941402242,0,0,0,0,0,0,0,0,,None,167.842217869122,0,0,0,4946986
167.034537024081,0,0,0,0,0,0,0,0,,None,168.041813490961,0,0,7903006.5,6589377
167.034827722725,0,0,0,0,0,0,0,0,,None,168.042104189605,0,0,6789726.5,0
167.035000023935,8,8,4,0,0,0,0,0,CHO,Lignin,168.042276490815,-0.105602085362435,1,82424672,64186432
167.035440523795,0,0,0,0,0,0,0,0,,None,168.042716990675,0,0,7913566.5,5698145
167.07138101244,9,12,3,0,0,0,0,0,CHO,Lignin,168.07865747932,-0.0787001739401084,1,8721827,9579781
168.038361707761,7,8,4,0,1,0,0,0,CHO,Lignin,169.045638174641,-0.14547338341571,0,7957742,5708849
168.836261957588,0,0,0,0,0,0,0,0,,None,169.843538424468,0,0,6850756.5,17145576
168.948751590682,0,0,0,0,0,0,0,0,,None,169.956028057562,0,0,0,6335552.5
169.050654551702,8,10,4,0,0,0,0,0,CHO,Lignin,170.057931018582,-0.130597744465595,1,0,5671319
169.055652549791,0,0,0,0,0,0,0,0,,None,170.062929016671,0,0,0,2304120
169.086586220699,0,0,0,0,0,0,0,0,,None,170.093862687579,0,0,2394650.8,0
169.087036879189,9,14,3,0,0,0,0,0,CHO,Protein,170.094313346069,-0.111881277259437,1,13006011,13518751
170.368150048915,0,0,0,0,0,0,0,0,,None,171.375426515795,0,0,0,2330206.8
170.399428037005,0,0,0,0,0,0,0,0,,None,171.406704503885,0,0,0,2500568.3
170.833305836267,0,0,0,0,0,0,0,0,,None,171.840582303147,0,0,5278490,15928961
171.065807764375,0,0,0,0,0,0,0,0,,None,172.073084231255,0,0,3139879.8,4243471
171.066287264227,8,12,4,0,0,0,0,0,CHO,Protein,172.073563731107,-0.0282292452851318,1,28971496,38790608
171.102668252986,9,16,3,0,0,0,0,0,CHO,Protein,172.109944719866,-0.00197528202713227,1,6745012.5,6974620
172.069635402803,7,12,4,0,1,0,0,0,CHO,Protein,173.076911869683,0.0106410305679116,0,0,3291785.5
172.830213221794,0,0,0,0,0,0,0,0,,None,173.837489688674,0,0,4020810,8156693.5
172.831951114488,0,0,0,0,0,0,0,0,,None,173.839227581368,0,0,0,6733014.5
173.081448144961,0,0,0,0,0,0,0,0,,None,174.088724611841,0,0,8143648,7030540
173.081938144811,8,14,4,0,0,0,0,0,CHO,Protein,174.089214611691,-0.0325918593392315,1,89688608,82919184
173.118319633694,9,18,3,0,0,0,0,0,CHO,Protein,174.125596100574,-0.00951309691518361,1,14401585,14176030
173.73977577207,0,0,0,0,0,0,0,0,,None,174.74705223895,0,0,0,2364055.3
173.822178741039,0,0,0,0,0,0,0,0,,None,174.829455207919,0,0,0,2402114.8
173.83128573761,0,0,0,0,0,0,0,0,,None,174.83856220449,0,0,0,2455079.8
174.047925656069,0,0,0,0,0,0,0,0,,None,175.055202122949,0,0,0,2633372.5
174.056076653002,0,0,0,0,0,0,0,0,,None,175.063353119882,0,1,0,2558880.8
174.085300839017,7,14,4,0,1,0,0,0,CHO,Protein,175.092577305897,-0.0772751006925455,0,7409185.5,6910929
174.379195531492,0,0,0,0,0,0,0,0,,None,175.386471998372,0,0,0,2408052.8
174.827268363202,0,0,0,0,0,0,0,0,,None,175.834544830082,0,0,0,3102265.8
174.829013613433,0,0,0,0,0,0,0,0,,None,175.836290080313,0,0,2683337,6297275
175.040055815805,10,8,3,0,0,0,0,0,CHO,Lignin,176.047332282685,0.0672569990181398,1,2542695.8,0
175.061188275442,7,12,5,0,0,0,0,0,CHO,Carb,176.068464742322,0.0497157646352639,1,0,3013191.3
175.097592532192,8,16,4,0,0,0,0,0,CHO,Protein,176.104868999072,-0.0567677196261453,1,3836842.8,3648157.5
176.894137393562,0,0,0,0,0,0,0,0,,None,177.901413860442,0,0,4356120.5,0
177.019339954332,9,6,4,0,0,0,0,0,CHO,ConHC,178.026616421212,-0.0434778343724957,1,8312563,6849516.5
177.055728943447,10,10,3,0,0,0,0,0,CHO,Lignin,178.063005410327,-0.0630284056879704,1,7927565.5,12796039
177.946827677581,0,0,0,0,0,0,0,0,,None,178.954104144461,0,0,3199503.8,3214124.5
178.998609365406,8,4,5,0,0,0,0,0,CHO,ConHC,180.005885832286,-0.069960967915677,1,2922373,16662150
179.034995354638,9,8,4,0,0,0,0,0,CHO,Lignin,180.042271821518,-0.0726291524095141,1,18241188,16726692
179.071373843874,10,12,3,0,0,0,0,0,CHO,Lignin,180.078650310754,-0.0336478189391755,1,13359810,15267011
179.943851458398,0,0,0,0,0,0,0,0,,None,180.951127925278,0,0,0,2958971
