mOz	abs_abu	sn	resolution	rel_abu
150.886749	12720989	47.75	1278701.26271186	0.0169532259651372
150.887136	3335119	11.06	1062585.46478873	0.00444470363331202
151.040176	5623150	20	1238034.2295082	0.00749395605843704
152.883423	2731118	8.7	1576117.7628866	0.00363975321348469
152.883791	14212566	53.59	1242957.6504065	0.0189410464031079
152.884174	4128542	14.16	1054373.6137931	0.00550209621536181
153.001238	4407103	15.25	1285724.68907563	0.00587333367009702
153.019421	2682854.5	8.51	1342275.62280702	0.00357543258390405
153.779567	6755814.5	24.43	1325685.92241379	0.0090034548254896
154.573329	4071647.3	13.94	1256693.73170732	0.0054262728100182
154.933204	6871603.5	24.89	1312993.25423729	0.00915776649742621
157.050722	3925304.3	13.37	1226958.765625	0.00523124190892898
157.087118	6500523	23.44	1208362.44615385	0.00866322856741495
158.846826	3405901	11.34	1185424.07462687	0.00453903460398296
159.066386	9329250	34.5	1187062.58208955	0.0124330650183925
159.102766	17770078	67.5	1161334.05839416	0.0236821325568407
159.845244	5251222	18.55	1210948.81818182	0.00699828866757918
160.040492	2700416.5	8.58	1119164.27972028	0.00359883741150038
160.841718	8084928	29.63	1363065.40677966	0.0107747606177369
160.842141	61889632	239.99	1165522.76086957	0.0824801370550028
160.842533	6897712	24.99	1044432.03246753	0.00919256122133571
161.024505	5766543.5	20.57	1258003.9453125	0.00768505616924068
161.842313	4576447	15.92	1244940.86923077	0.00609901793865823
161.9314	2313993	7.07	999576.543209877	0.00308385190889998
162.838761	6739159.5	24.37	1403782.42241379	0.00898125875422113
162.839189	61637336	239.01	1154887.86524823	0.0821439028912833
162.839598	5887703.5	21.04	1057399.98701299	0.0078465257576458
162.842552	8857495	32.65	1188631.76642336	0.0118043584677318
163.04017	15735119	59.54	1172950.86330935	0.0209701484684346
163.839359	2378812.8	7.32	1204701.16911765	0.00317023707253898
164.835777	2390468	7.37	1540521.28037383	0.00318576992452627
164.836235	22658756	86.61	1136801.62068966	0.0301972598637502
164.836652	2315276	7.08	963957.029239766	0.00308556175936155
164.838	3626788	12.2	1221022.22222222	0.00483341008247455
164.839609	9381828	34.7	1212055.94852941	0.0125031355698877
165.018986	2309881.3	7.05	1434947.70434783	0.00307837225797025
165.01943	16059593	60.81	1107512.95302013	0.0214025740480661
165.055823	11277515	42.12	1204787.02919708	0.0150295122588522
167.034628	7903006.5	28.92	1315233.29133858	0.0105323143505939
167.034915	6789726.5	24.57	2257228.58108108	0.00904864925171933
167.035086	82424672	320.28	1113567.24	0.109847126628151
167.035513	7913566.5	28.96	933159.290502793	0.0105463876326471
167.071465	8721827	32.12	1099154.375	0.0116235541088695
168.038447	7957742	29.13	1150948.26712329	0.0106052601962208
168.836352	6850756.5	24.81	1164388.63448276	0.00912998375964574
169.086674	2394650.8	7.38	1252493.88148148	0.00319134433022436
169.087122	13006011	48.87	1119782.26490066	0.0173330739762498
170.833392	5278490	18.65	899123.115789474	0.00703462865385048
171.0659	3139879.8	10.29	1500578.07017544	0.00418450890514642
171.066374	28971496	111.25	1096579.32051282	0.0386102305595946
171.102752	6745012.5	24.38	1069392.2	0.00898905903072274
172.830308	4020810	13.69	807618.261682243	0.00535852208447654
173.08154	8143648	29.75	1254214.05797101	0.0108530165952142
173.082026	89688608	347.45	1075043.63975155	0.11952775353572
173.118404	14401585	54.13	1102664.99363057	0.0191929514883733
174.085391	7409185.5	26.8	1074601.17901235	0.00987420050430966
174.829095	2683337	8.45	1222581.08391608	0.00357607561028574
175.040145	2542695.8	7.9	1114905.38216561	0.00338864348188692
175.097679	3836842.8	12.93	1129662.44516129	0.00511334951874493
176.894227	4356120.5	14.89	1179294.84666667	0.00580538943692713
177.019431	8312563	30.1	1120376.14556962	0.011078129136692
177.055816	7927565.5	28.62	1086232	0.0105650440602476
177.946926	3199503.8	10.37	983132.187845304	0.00426396964086008
178.998703	2922373	9.27	1260554.24647887	0.003894638209609
179.035085	18241188	68.17	1023057.62857143	0.0243099795178306
179.071463	13359810	49.4	1047201.5380117	0.0178045809002192
181.014349	10548621	38.45	1064790.28823529	0.0140581172921061
181.050189	14254255	52.65	1231633.93877551	0.018996605215183
181.050722	162735280	621.56	1028697.28409091	0.216876846158728
181.05122	11080752	40.49	850005.727699531	0.0147672867667479
181.08712	7544017.5	26.94	1046746.3583815	0.0100538907283427
182.054076	15940733	59.11	1040309.00571429	0.0212441696631385
183.029993	2990556.8	9.45	1070350.83625731	0.00398550656650811
183.05498	2380086.8	7.12	994864.02173913	0.00317193492872608
183.066383	7489922.5	26.63	1089680.85119048	0.00998179847524945
183.102765	12327848	45.1	1046301.51428571	0.0164292880693368
184.899549	2605373	7.94	1311344.31914894	0.00347217320858208
185.001197	11039407	40.03	1075588.35465116	0.0147121864024972
185.02231	3367750.5	10.84	1045323.78531073	0.00448819154082309
185.082026	29730058	111.14	995064.655913979	0.0396211639858059
185.118411	9078066	32.57	1057819.49142857	0.0120983128139195
186.085392	2386757	7.11	930426.96	0.00318082428535021
186.113657	3598246	11.72	1216429.13071895	0.00479537224001616
186.998228	3571513.3	11.57	999990.524064171	0.00475974564653681
187.061292	4372868.5	14.61	1100360.54117647	0.00582770944903186
187.097098	15057968	55.11	1199340.37179487	0.0200677112510517
187.097677	229060144	866.32	989934.798941799	0.305267804322357
187.134064	10024284	36.03	1011535.48108108	0.0133593348591614
188.035418	9618083	34.48	1010943.10752688	0.0128179919383976
188.101034	21914868	81.1	979692.885416667	0.0292058824357252
189.019431	7938925	28.01	984476.203125	0.0105801828336835
189.076942	7678901.5	27.03	1056295.76536313	0.0102336502526282
189.113327	7661795	26.96	1050629.59444444	0.0102108524685901
190.05107	3317392.5	10.55	879866.064814815	0.0044210795770322
190.072185	3044395.8	9.48	1055956.58333333	0.00405725764912732
191.035078	12186003	43.87	994974.364583333	0.0162402516400918
193.014341	5434604.5	18.39	984767.045918367	0.00724268200527893
193.050737	37947424	140.25	965253.685	0.0505724243505649
193.087116	7984207.5	27.95	1010927.30890052	0.0106405306930179
194.054083	3053821.3	9.46	1212838.01875	0.00406981898624776
195.029999	14320328	51.48	1000153.84102564	0.0190846605149081
195.066383	15284987	55.09	956207.759803922	0.0203702588285536
195.079446	5019661	16.76	1048814.22580645	0.00668968797955775
195.102762	4525869.5	14.92	985367.484848485	0.00603161344783981
195.139174	3208544.5	10	1147877.49411765	0.00427601815611176
195.811001	40401680	148.85	945946.8647343	0.0538432043617963
195.81273	3563665.3	11.32	1014573.73056995	0.00474928663919278
196.033341	2646344	7.9	1059639.68108108	0.00352677514409335
196.06972	3192955.3	9.94	1037405.92592593	0.00425524247348082
197.022309	2474112.5	7.22	1026157.859375	0.00329724271247074
197.04564	16110562	57.93	956532.233009709	0.0214705002898243
197.081681	2528532.8	7.42	1824830.37962963	0.00336976849195145
197.082033	26782230	97.61	942976.234449761	0.0356926019698842
197.118412	3463241.3	10.9	1083068.1978022	0.00461545185918291
197.808036	60317216	222.31	941943.028571428	0.0803845827109815
198.085375	2617389.3	7.75	1037096.20418848	0.00348818729751532
198.985171	4623800	15.2	904478.05	0.00616212514747094
199.043535	4721292	15.5	892571.905829596	0.0062920524593956
199.06128	6506021.5	22.11	1010463.35025381	0.00867055640277187
199.097443	6197593.5	20.97	1971261.81188119	0.00825951528183581
199.097684	73915736	271.76	934730.910798122	0.0985072917512485
199.134047	4307726	13.97	934901.629107981	0.00574089422401799
199.805084	28903764	105.06	956005.186602871	0.0385199643152743
200.101038	8706815	30.26	966671.68115942	0.0116035476590417
200.836987	4479525	14.6	865676.668103448	0.00596985026411712
200.93809	2575671.3	7.54	934595.76744186	0.00343258983722245
201.076935	17769600	63.81	944023.169014085	0.0236814955275963
201.113332	56461492	207.11	918325.716894977	0.0752460702705414
201.149699	2956520.8	8.95	1005748.495	0.00394014688583003
201.802138	6789271	23.05	934269.157407408	0.00904804220816107
202.116679	5425245	18.02	967065.449760766	0.00723020862617132
202.828419	7986016	27.46	943387.995348837	0.0106429408758392
203.035073	5388681.5	17.88	1010124.74129353	0.00718148055341092
203.092596	15485917	55.12	953486.366197183	0.0206380376697408
203.12897	9709585	33.81	962696.54028436	0.0129399363943091
204.030317	7952161	27.21	931645.283105023	0.0105978224133478
204.066709	3227989.3	9.86	1068412.08900524	0.0043019321859287
204.825471	9721748	33.71	943896.179723502	0.0129561459899164
204.946582	3977793.3	12.61	1045645.82653061	0.00530119385037662
205.014352	10158242	35.31	936138.593607306	0.013537860305873
205.050731	9612502	33.3	953724.330232558	0.0128105541555246
205.08707	4079498	12.98	915567.276785714	0.00543673541564458
206.82251	5460391	17.97	899228.304347826	0.00727704760070158
206.943613	2731217.5	7.99	940652.786363636	0.00363988581685253
207.012237	24399282	87.22	896156.87012987	0.0325168539280321
207.029993	17827274	63.19	896233.735930736	0.0237583575038399
207.066377	12973566	45.44	912186.682819383	0.0172898346167598
207.079432	4598800.5	14.82	932790.234234234	0.00612880838471645
207.102741	3681585	11.46	1045973.43939394	0.00490643788897699
208.015576	2772780.5	8.13	1004906.16425121	0.00369527670908496
208.84538	9822632	33.76	884938.050847458	0.0130905938106217
208.9347	5119267.5	16.64	945405.882352941	0.00682243327963594
209.045651	11231420	38.89	904959.528138528	0.0149680815830719
209.058697	8818894	30.11	893413.235042735	0.0117529150244995
209.082031	10688750	36.91	921066.215859031	0.0142448668130174
209.085399	24371442	86.73	901230.168103448	0.032479751638983
209.0951	6337791.5	21.07	1019976.09756098	0.0084463567588515
209.118388	3406751.5	10.4	771654.568265683	0.00454016806292105
209.154803	4728401.5	15.21	929576.902222222	0.00630152726988393
210.842407	14748221	51.46	924747.399122807	0.0196549123025561
210.931747	2651956.3	7.61	860945.906122449	0.00353425464038756
211.024916	40359728	144.29	875622.058091286	0.053787295050367
211.055759	2992729.5	8.84	933875.039823009	0.0039884021176366
211.061301	10559329	36.27	925707.460526316	0.0140723878133395
211.09768	20672402	72.93	902126.837606838	0.0275500515210062
211.134063	13324225	46.29	890861.025316456	0.0177571568716339
212.028297	3523931.5	10.76	981612.486111111	0.00469633351661296
212.83946	7491190	25.14	933506.403508772	0.00998348766890497
212.979294	3201193.3	9.59	835212.917647059	0.00426622123271886
213.015406	7424855.5	24.9	898799.181434599	0.00989508386887147
213.076947	20179366	71.13	862659.704453441	0.0268929838419958
213.113336	23856596	84.46	887972.233333333	0.031793617834823
213.149709	3188227.3	9.5	910896.192307692	0.00424894148128885
214.08032	2863513.5	8.32	903292.489451477	0.00381619632087731
214.1167	3320262.8	9.97	986712.903225807	0.00442490481770238
215.032892	8223023.5	27.66	899719.213389121	0.010958800098965
215.056203	3244876	9.7	1014416.05188679	0.00432443704313009
215.092594	44999544	160.35	867308.846774193	0.0599707646756185
215.128976	48325540	172.36	867455.548387097	0.0644033101127023
215.165373	3124176.8	9.26	785275.083941606	0.0041635815615782
216.095948	3933738.5	12.12	915660.796610169	0.00524248214335062
216.13234	4752981.5	15.06	927606.60944206	0.00633428496617807
217.029954	2734953.5	7.81	923531.719148936	0.00364486477345769
217.042484	5719160	18.53	931512.806866953	0.00762190831316447
217.048544	4237183	13.21	956160.986784141	0.00564688176796928
217.050732	4771201.5	15.12	847854.421875	0.00635856670850838
217.063794	5525136.5	17.83	841332.534883721	0.00736333374494129
217.07186	5175449.5	16.58	919796.016949153	0.00689730687171069
217.108246	43744452	155.09	854756.874015748	0.0582981071265053
217.144634	4994797	15.93	987021.063636364	0.006656551797269
218.111597	4708651	14.89	969384.875555556	0.00627520583454392
219.029993	7679247	25.44	826528.275471698	0.0102341106994984
219.043048	3081757.3	9.01	973524.657777778	0.00410704921422469
219.066387	8633654	28.86	876265.548	0.0115060462018173
219.07943	8980292	30.1	852449.143968872	0.0119680096813945
219.102733	3216732.5	9.49	883478.762096774	0.0042869302804916
221.009266	8363765.5	27.88	887587.413654619	0.011146366563238
221.045647	29238552	102.52	837294.117424242	0.0389661353334566
221.058707	9649446	32.48	891365.754032258	0.012859789319556
221.082027	11526460	39.19	877309.630952381	0.0153612805543747
221.095111	5874505	18.98	824981.757462687	0.00782893615412513
221.11842	3965535.5	12.16	925181.673640167	0.00528485791507823
222.049004	2629842	7.37	773689.909407665	0.003504782975491
222.090352	5664504.5	18.19	895525.612903226	0.00754906908331076
222.950352	37049344	130.17	850955.541984733	0.0493755556814096
223.024912	7290433	23.99	878050.834645669	0.00971593938432717
223.055738	3082459.8	8.98	761282.38225256	0.00410798543398249
223.061296	17395808	60.05	857928.061538462	0.0231833439892245
223.074353	40911980	143.95	835484.468164794	0.0545232797246481
223.097678	14933120	51.26	841878.030188679	0.0199013266755053
223.110758	5340300	17.03	925770.780082988	0.00711700266556491
223.134069	4923040	15.54	861521.501930502	0.00656092144686304
223.949918	4520789	14.11	952978.374468085	0.00602484267989749
224.077727	2953150.5	8.51	875303.62109375	0.00393565529657779
224.947416	10588791	35.68	885619.748031496	0.0141116517371889
225.040556	21529280	74.63	833483.540740741	0.0286920104016054
225.071416	13159127	44.83	865659.292307692	0.0175371312352316
225.076947	30395100	106.19	839839.354477612	0.0405074635732285
225.090015	5193446	16.47	882705.94117647	0.00692129075622483
225.113329	18062072	62.28	852702.003787879	0.0240712721325816
225.149705	5331732	16.96	856082.52851711	0.00710558411626271
226.080305	2873803.5	8.21	982957.847826087	0.00382990977469614
227.038477	2736749.5	7.72	1009059.89777778	0.00364725829756445
227.056207	5558905.5	17.76	853594.763157895	0.00740833759547656
227.092594	45756564	160.88	834899.242647059	0.0609796430828028
227.128973	31246506	108.98	825923.538181818	0.0416421299349456
228.095938	6847780.5	22.3	844799.77037037	0.00912601765288531
228.132323	2880827.5	8.21	954528.548117155	0.00383927063957693
228.160636	3756621.3	11.32	938932.658436214	0.00500643855319325
228.950644	2897202	8.27	880579.4	0.00386109288929086
228.969396	2921021	8.35	814837.708185053	0.0038928364030431
229.027426	3505247.5	10.43	942499.695473251	0.00467143340279848
229.050722	6808429.5	22.16	835951.540145985	0.00907357468677992
229.063781	2701429	7.57	898289.337254902	0.00360018676737905
229.071863	10511738	35.32	842175.966911765	0.0140089634226017
229.108244	50226576	176.41	815331.829181495	0.0669368153987976
229.144634	53335460	187.45	809698.35335689	0.0710800162891843
230.111592	5825481.5	18.67	858625.343283582	0.00776360267469975
230.139887	2671833	7.46	920559.548	0.00356074426210968
230.147982	7349725.5	24.03	849254.546125461	0.00979495833093092
231.030006	7115182.5	23.19	796655.193103448	0.00948238353996607
231.043054	7697333.5	25.26	807842.846153846	0.0102582145267573
231.066385	4646081	14.44	816488.992932862	0.00619181897298476
231.087502	16619980	56.89	837273.557971015	0.0221494002137774
231.102766	3954131.8	11.99	780752.587837838	0.00526966023642773
231.123896	34015712	118.55	819588.283687943	0.0453326429180174
231.160278	20820464	71.78	825572.421428572	0.0277473733285206
232.090855	2644917	7.35	840908.894927536	0.00352487338524015
232.127249	3860422	11.66	917499.007905138	0.00514477345171721
233.009265	11800914	39.8	797976.934931507	0.0157270446218569
233.045636	10582370	35.48	863131.985185185	0.014103094488698
233.058703	20094312	69.2	812051.229965157	0.0267796326173985
233.082044	6975345.5	22.7	826532.070921986	0.00929602316662664
233.103186	3507578.8	10.4	835495.290322581	0.0046745403196972
233.118411	8745345	28.97	817959.336842105	0.0116548964807754
233.154798	28116368	97.41	798475.335616438	0.0374706038990326
234.15816	4195626.5	12.81	813049.166666667	0.00559149953826841
235.024897	9573488	31.83	813234.937716263	0.0127585603083635
235.055748	5566074.5	17.66	848576.707581227	0.00741789170144615
235.061297	17905788	61.3	813360.889273356	0.0238629928889838
235.074353	25858178	89.42	796862.213559322	0.0344611204899822
235.097661	9633930	32.04	775899.871287129	0.0128391111903574
235.110709	3509902.5	10.38	851850.394927536	0.00467763710809748
235.134073	9638039	32.06	810807.148275862	0.0128445872430048
236.064642	2656211	7.36	963529.151020408	0.00353992486701175
