mOz	abs_abu	sn	resolution	rel_abu
150.380763	1263555.9	7.05	626586.5	0.00220908252446901
153.140231	1434469.4	8.29	615021	0.00250789164407016
153.715471	1408896.3	8.09	728509.3	0.00246318203659929
154.221659	1304170.4	7.3	682396.7	0.00228008910375058
154.407908	1305135.8	7.31	714851.4	0.00228177691848765
154.706739	1388421.9	7.93	595025.9	0.00242738651758902
154.886022	1278022.4	7.08	694556.2	0.00223437439508608
155.091216	1578841.6	9.34	542277	0.00276029844620622
155.212187	1288112.4	7.15	816906.3	0.00225201480392901
156.179951	1373606.8	7.79	684999.8	0.00240148518745534
157.976982	1296366.9	7.18	738210.2	0.00226644619687191
159.603101	1415382.9	8.04	421116.3	0.00247452259913651
162.038878	1407980.3	7.94	677986.9	0.00246158058818501
162.399464	1358503.8	7.57	807957.5	0.00237508051998708
162.427713	1322875.4	7.31	567929.1	0.00231279116989597
162.440745	1383940.4	7.76	461479.4	0.00241955148367132
162.546428	1325581.9	7.33	597597.1	0.00231752296043446
163.389389	1284181.3	7.01	692327.9	0.00224514203770478
163.420213	1419626.5	8.02	648492.9	0.00248194171102609
165.019363	1855277.1	11.22	825096.8	0.00324359232516547
165.669074	1427361.5	8.04	587479	0.00249546485893491
167.291263	1321808	7.23	658627	0.00231092502793374
169.601107	1346637.4	7.38	507787.7	0.00235433442013637
170.975778	2971924.8	19.36	615020.8	0.00519583434315495
171.03061	1410325.5	7.84	422297.8	0.00246568071571905
171.066287	2202443	13.68	747014.4	0.00385054459596058
173.045563	1608395.6	9.26	772524.8	0.00281196788554654
173.081914	2072544.1	12.67	712271.3	0.00362344155292327
174.003427	1319200.9	7.13	522532.8	0.00230636701902448
174.637198	1339448.3	7.25	676888.4	0.00234176567254344
175.061197	1616281.6	9.27	622993.6	0.00282575502768086
176.169761	1308117.8	7.01	545417.3	0.00228699036736471
176.863128	1368494.5	7.45	484556.5	0.00239254732203139
177.746317	1472790.4	8.2	479100.6	0.00257488848324457
178.787118	1323443.1	7.1	784154	0.00231378368328548
179.034948	1375520.9	7.48	660645.6	0.00240483162021711
180.364135	1335893.8	7.17	560137.1	0.00233555131840744
180.671939	1606099	9.14	350139.4	0.00280795272569038
182.053642	1359019.5	7.34	312270.4	0.00237598212145788
183.066283	4352987	29.1	614316.4	0.00761035385212541
185.045538	3213933.8	20.81	580080.1	0.0056189401611597
185.081914	6349945	43.62	589432.8	0.0111016477631416
185.986614	1962892.4	11.7	693979.9	0.00343173681374369
186.557001	1366578.3	7.35	607677.5	0.00238919721782675
187.061196	9851072	68.93	599555.1	0.0172226895561059
187.097567	3466954	22.59	565249.4	0.00606129692761352
188.52987	1342147.3	7.17	457596.8	0.00234648435078596
188.951579	1564075.6	8.78	672425.6	0.00273448295790347
189.040448	3228097.3	20.85	617779.3	0.00564370229501964
