ind,mz,intensity,sn,rel_int,mf_ind,mf,m0,search_m,p,major_ind,minor_ind,err_ppm
258,213.055721223034,3260223.8,21.59,0.000490072416884036,428,C7H13O5Cl,213.048506,213.05578246688,0.0757101,1,-1,-0.287454512929285
333,232.066499167078,1853726.4,10.87,0.000278649636595421,562,C11H13O3Cl,232.0590815,232.06635796688,0.002058576,4,-1,0.608447509574274
367,238.959173004141,1393726.3,7.45,0.00020950304586938,648,C6H10OCl4,238.9519305,238.95920696688,0.05070542,1,-1,-0.142127770187797
412,248.085709731276,19891748,138.34,0.00299010056254672,742,C15H15OCl,248.0781927,248.08546916688,0.3199578,2,-1,0.96968354092418
433,252.090343448564,4194137.5,27.17,0.000630457056772903,763,C11H17O4Cl,252.082833,252.09010946688,0.002630045,4,-1,0.928166855151174
422,250.093266549484,12758984,87.83,0.00191791315855824,763,C11H17O4Cl,250.0857831,250.09305956688,0.008219974,2,1,0.827622345218891
508,266.151264676877,33991480,233.82,0.00510955314081977,995,C16H23OCl,266.143743,266.15101946688,1,0,-1,0.921319023823358
516,267.154581849364,1606111,8.67,0.000241428425727717,995,C16H23OCl,267.1470979,267.15437436688,0.1730517,1,-1,0.77663891526896
540,272.061376115531,2082834.1,11.9,0.000313088795117527,1014,C13H13O4Cl,272.0539962,272.06127266688,0.002919435,4,-1,0.380240265596294
525,269.118340420647,1480103,7.79,0.000222487074184083,1019,C11H21O5Cl,269.1111063,269.11838276688,0.118973,1,-1,-0.157351694102369
554,274.076942637745,2078564.5,11.87,0.000312446994640171,1044,C13H15O4Cl,274.0696462,274.07692266688,0.002919435,4,-1,0.0728659109036596
542,272.079609844629,1494293.3,7.83,0.000224620140821198,1044,C13H15O4Cl,272.0725963,272.07987276688,0.009124438,2,2,-0.966342155532887
535,271.097548631943,1471089.1,7.67,0.000221132116969627,1047,C10H19O6Cl,271.0903708,271.09764726688,0.1081573,1,-1,-0.363835458391527
555,274.095328471238,1381223.6,7.05,0.000207623656973877,1047,C10H19O6Cl,274.0883123,274.09558876688,0.003945067,4,-1,-0.949652793324207
537,271.133990363303,1584183.3,8.45,0.000238132283623697,1050,C11H23O5Cl,271.1267564,271.13403286688,0.118973,1,-1,-0.156762234218298
