mf_ind,mf,ec,C,H,O,NSP,other,search_m0,search_m,pa_mm_abs,pa_mm_max,pa_mm_rel,major_count,minor_count,major_multi_count,minor_multi_count,p_d1,p_d2,p_dinf,pa_sum_abs,pa_sum_max,pa_sum_rel,tma_m_err_ppm
995,C16H23OCl,HCOCl,16,23,1,0,1,266.143743,266.15101946688,2,5.3,0.377358490566038,2,0,0,0,0.505619746632874,0.34825978607385,0.319957792758942,1.17305169999599,1.55551545554772,0.754124104529033,0.921319023823358
1813,C19H21O2Cl,HCOCl,19,21,2,0,1,316.1230076,316.13028406688,2.1,5.5,0.381818181818182,2,1,0,0,1.40111475251615,0.84004453553938,0.680042207241058,1.32406777981669,1.6217214083299,0.816458223351846,0.884180905312509
1971,C17H21O4Cl,HCOCl,17,21,4,0,1,324.1128368,324.12011326688,2.1,5.6,0.375,2,1,0,0,1.93140132818371,1.14318188687203,0.816132605075836,1.18386739492416,1.57168426516,0.753247596331724,-0.00246155277955068
2139,C22H17OCl,HCOCl,22,17,1,0,1,332.0967928,332.10406926688,2,5.4,0.37037037037037,2,0,0,0,1.62088948488235,0.952377112041326,0.680042207241058,1.31995779275894,1.67175985593349,0.789561842913075,0.695545965021304
2233,C18H21O4Cl,HCOCl,18,21,4,0,1,336.1128368,336.12011326688,2.1,5.7,0.368421052631579,2,1,0,0,1.24159518675879,0.76266858835507,0.662440836429596,1.19468310475349,1.58659683272708,0.752984677714277,0.0955225877697183
2542,C19H23O4Cl,HCOCl,19,23,4,0,1,350.1284869,350.13576336688,2.1,5.7,0.368421052631579,2,1,0,0,1.10624878667295,0.763850282994077,0.690035581588745,1.20549879968166,1.60177684866358,0.752600963540869,0.141084033122539
3057,C20H17O5Cl,HCOCl,20,17,5,0,1,372.0764513,372.08372776688,2.1,5.7,0.368421052631579,2,1,0,0,1.30527703370899,0.844679828736297,0.765249729156494,1.21631459891796,1.6164552164264,0.752457962681418,0.414385711384363
3062,C21H21O4Cl,HCOCl,21,21,4,0,1,372.1128368,372.12011326688,2.1,5.7,0.368421052631579,2,1,0,0,1.26823769230396,0.84982739000626,0.778835833072662,1.22713029384613,1.63155918347184,0.75212122629526,0.142874889115977
3109,C20H19O5Cl,HCOCl,20,19,5,0,1,374.0921014,374.09937786688,2.1,5.7,0.368421052631579,2,1,0,0,1.22355066146702,0.815676837321833,0.742213070392609,1.21631459891796,1.61668524262495,0.752350900997324,0.101063446035929
3416,C21H19O5Cl,HCOCl,21,19,5,0,1,386.0921014,386.09937786688,3.1,5.7,0.543859649122807,3,1,0,0,1.3479613782838,0.837432191994009,0.727771043777466,1.55736305657774,1.66655085072853,0.934482770745907,-0.0877151463389699
3421,C22H23O4Cl,HCOCl,22,23,4,0,1,386.1284869,386.13576336688,3.1,5.7,0.543859649122807,3,1,0,0,1.535848736763,0.941176494029193,0.732089221477509,1.56612377054989,1.6820938430028,0.931056122144835,0.206192454543908
3463,C20H17O6Cl,HCOCl,20,17,6,0,1,388.0713659,388.07864236688,2.1,5.7,0.368421052631579,2,1,0,0,1.46891772653908,0.905089599328423,0.797755241394043,1.21631459891796,1.61683614249341,0.752280683831211,0.397647340602
3469,C21H21O5Cl,HCOCl,21,21,5,0,1,388.1077515,388.11502796688,2.2,5.7,0.385964912280702,2,2,0,0,1.40764556545764,0.877946190965871,0.782766163349152,1.22713029384613,1.63194010849111,0.751945667283547,0.185898034262437
